date,country,confirmed,deaths,recovered,active,mortality_rate,recovery_rate
2021-07-15,India,31026044,412553,30413636,199855,1.33,98.03
2021-08-01,India,31695958,424773,31017847,253338,1.34,97.86
2021-08-15,India,32260529,431642,31726916,101971,1.34,98.35
2021-09-01,India,32890015,439895,32329028,121092,1.34,98.29
2021-09-15,India,33335543,443213,32944063,148267,1.33,98.83
2021-10-01,India,33804599,448817,33407258,148524,1.33,98.82
2021-10-15,India,34088834,451189,33718726,118919,1.32,98.91
2021-11-01,India,34350286,461849,33965674,122763,1.34,98.88
2021-11-15,India,34481536,467933,34118278,95325,1.36,98.95
2021-12-01,India,34611852,471244,34327428,113180,1.36,99.18
2021-12-15,India,34752372,477998,34358697,115677,1.38,98.87
2022-01-01,India,34957808,480860,34587252,89696,1.38,98.94
2022-01-15,India,37379612,484655,35484753,1410204,1.3,94.93
2022-02-01,India,42213922,503693,41380067,330162,1.19,98.02
2022-02-15,India,42697581,509388,42371551,116642,1.19,99.24
2022-03-01,India,42940019,516543,42691404,132072,1.2,99.42
2020-01-22,USA,1,0,0,1,0.0,0.0
2020-02-01,USA,8,0,3,5,0.0,37.5
2020-03-01,USA,75,1,1,73,1.33,1.33
2020-03-15,USA,3499,65,49,3385,1.86,1.4
2020-04-01,USA,215344,5112,8878,201354,2.37,4.12
2020-04-15,USA,636350,28326,52096,555928,4.45,8.19
2020-05-01,USA,1069424,62996,0,852481,5.89,0.0
2020-05-15,USA,1469566,89271,270988,1109307,6.07,18.44
2020-06-01,USA,1825299,106195,493388,1225716,5.82,27.03
2020-06-15,USA,0,117113,594461,1407191,,
2020-07-01,USA,2727347,129046,748333,1849968,4.73,27.44
2020-07-15,USA,3532067,137447,1076022,2318598,3.89,30.46
2020-08-01,USA,4648371,153946,1472296,3022129,3.31,31.67
2020-08-15,USA,5358037,169797,1830001,3358239,3.17,34.15
2020-09-01,USA,6082088,185257,2387793,3508038,3.05,39.26
2020-09-15,USA,6658579,197598,2648083,3812898,2.97,39.77
2020-10-01,USA,7304613,209823,2878680,4216110,2.87,39.41
2020-10-15,USA,7986756,217918,3140026,4628812,2.73,39.32
2020-11-01,USA,9292917,231218,3749833,5311866,2.49,40.35
2020-11-15,USA,11155133,247295,4320985,6586853,2.22,38.74
2020-12-01,USA,13878248,272986,5296800,8308462,1.97,38.17
2020-12-15,USA,16861217,307247,6622803,9931167,1.82,39.28
2021-01-01,USA,20359784,352283,7854742,12152759,1.73,38.58
2021-01-15,USA,23190665,387459,9455296,13347910,1.67,40.77
2021-02-01,USA,26254097,439533,15765218,10049346,1.67,60.05
2021-02-15,USA,27740490,486475,17541246,9712769,1.75,63.23
2021-03-01,USA,28803551,518223,19099345,9185983,1.8,66.31
2021-03-15,USA,29812411,540785,20543680,8727946,1.81,68.91
2021-04-01,USA,30596032,553544,22259547,7782941,1.81,72.75
2021-04-15,USA,31295789,563803,23497427,7234559,1.8,75.08
2021-05-01,USA,32205433,573614,24779484,6852335,1.78,76.94
2021-05-15,USA,32910049,584282,26024703,6301064,1.78,79.08
2021-06-01,USA,33364457,597029,27208698,5558730,1.79,81.55
2021-06-15,USA,33459748,600415,27698640,5160693,1.79,82.78
2021-07-01,USA,33557921,603373,27898640,5055908,1.8,83.14
2021-07-15,USA,33972742,609192,28234019,5129531,1.79,83.11
2021-08-01,USA,35396397,619527,29085695,5691175,1.75,82.17
2021-08-15,USA,37014207,632765,29814978,6566464,1.71,80.55
2021-09-01,USA,39448693,645491,30895433,7907769,1.64,78.32
2021-09-15,USA,41403066,666936,32249836,8486294,1.61,77.89
2021-10-01,USA,43325009,695149,33619726,9010134,1.6,77.6
2021-10-15,USA,44716963,720904,34785834,9210225,1.61,77.79
2021-11-01,USA,45982984,743447,35978992,9260545,1.62,78.24
2021-11-15,USA,47341313,768543,36882641,9690129,1.62,77.91
2021-12-01,USA,48828472,789041,38058440,9980991,1.62,77.94
2021-12-15,USA,51126695,811282,39432543,10882870,1.59,77.13
2022-01-01,USA,55378014,826672,42374014,12177328,1.49,76.52
2022-01-15,USA,66157009,856556,46893812,18406641,1.29,70.88
2022-02-01,USA,75841768,899630,51873812,23068326,1.19,68.4
2022-02-15,USA,78560421,940285,56741812,20878324,1.2,72.23
2022-03-01,USA,79614570,964519,60721812,17928239,1.21,76.27
